epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3838,2.09551,5.41277,1.96374,0.14228,0.47368,0.12329,0.05645,1.95523,4.825,1.79149,8e-05,8e-05,8e-05
2,139.982,1.57077,2.99649,1.52653,0.24647,0.15789,0.19473,0.10863,1.95801,4.29993,1.87884,0.000176436,0.000176436,0.000176436
3,191.888,1.4877,2.57941,1.50764,0.22953,0.36842,0.23234,0.07292,1.51699,3.66754,1.58869,0.000268912,0.000268912,0.000268912
4,245.251,1.68233,2.4506,1.61347,0.20316,0.26316,0.10603,0.044,2.18137,3.16849,2.09336,0.000357428,0.000357428,0.000357428
5,301.594,1.49904,2.42726,1.48251,0.16707,0.10526,0.04085,0.01527,2.2149,3.81859,2.07973,0.000441984,0.000441984,0.000441984
6,354.595,1.43666,2.28732,1.41032,0.11908,0.15789,0.08187,0.03974,2.17812,2.92964,2.10779,0.00052258,0.00052258,0.00052258
7,406.467,1.61373,2.23312,1.58654,0.15552,0.31579,0.21576,0.09507,1.99435,7.52765,2.14111,0.000599216,0.000599216,0.000599216
8,458.385,1.41337,2.24085,1.5073,0.12493,0.52632,0.16526,0.0864,2.13046,3.09099,2.6219,0.000671892,0.000671892,0.000671892
9,510.522,1.52471,2.08942,1.49648,0.18078,0.21053,0.0689,0.01839,2.57814,3.72,3.28847,0.000740608,0.000740608,0.000740608
10,562.727,1.43154,1.91917,1.39166,0.01325,0.68421,0.0523,0.00892,2.89659,127.381,3.95665,0.000805364,0.000805364,0.000805364
11,614.87,1.54877,2.03568,1.44661,0.05888,0.05263,0.01025,0.00174,2.58903,12.3251,3.9486,0.00086616,0.00086616,0.00086616
12,667.515,1.59479,1.87801,1.59114,0.04031,0.15789,0.02034,0.00589,2.86464,31.8229,4.0176,0.000922996,0.000922996,0.000922996
13,718.918,1.64804,2.0885,1.53048,0.0254,0.31579,0.04489,0.01322,2.60771,76.7258,3.73735,0.000975872,0.000975872,0.000975872
14,770.557,1.45893,1.71977,1.48521,0.02877,0.31579,0.08312,0.03083,2.58664,52.599,3.97519,0.00102479,0.00102479,0.00102479
15,822.648,1.49608,1.776,1.48249,0.06494,0.26316,0.0316,0.01403,2.63479,205.202,4.4109,0.00106974,0.00106974,0.00106974
16,874.437,1.62717,1.90177,1.63816,0.6,0.15789,0.17826,0.03945,2.70618,75.885,3.99254,0.00111074,0.00111074,0.00111074
17,927.661,1.55691,1.81128,1.54342,0.07412,0.68421,0.10409,0.02975,2.41791,69.3631,3.89788,0.00114778,0.00114778,0.00114778
18,981.611,1.62801,2.00822,1.74082,0.07366,0.63158,0.16092,0.03983,2.50279,54.6831,4.46248,0.00118085,0.00118085,0.00118085
19,1033.55,1.54354,1.7378,1.66161,0.05188,0.63158,0.17265,0.0434,2.4249,63.8386,4.33909,0.00120997,0.00120997,0.00120997
20,1085.37,1.54807,1.70336,1.53612,0.02602,0.57895,0.13343,0.03448,2.43258,78.1588,3.77436,0.00123512,0.00123512,0.00123512
21,1137.29,1.44968,1.71688,1.47765,0.07016,0.47368,0.19483,0.08175,2.31774,40.933,3.23561,0.001208,0.001208,0.001208
22,1190.07,1.46099,1.7583,1.51751,0.04282,0.36842,0.04277,0.01519,2.32488,33.4945,3.10658,0.0011684,0.0011684,0.0011684
23,1242.01,1.64247,1.87307,1.64529,0.0784,0.31579,0.0523,0.01782,2.56926,22.4435,3.65265,0.0011288,0.0011288,0.0011288
24,1294.35,1.48448,1.61546,1.55916,0.03347,0.31579,0.0339,0.01129,2.41495,31.3055,3.49968,0.0010892,0.0010892,0.0010892
25,1346.2,1.58505,1.65889,1.50866,0.065,0.31579,0.11857,0.02774,2.28529,21.7818,2.90651,0.0010496,0.0010496,0.0010496
26,1398.07,1.48337,1.6412,1.5449,0.20269,0.26316,0.12198,0.04287,2.51632,7.73031,2.96708,0.00101,0.00101,0.00101
27,1450.59,1.38663,1.47335,1.50923,0.24948,0.26316,0.18073,0.0905,2.6827,4.06029,3.14335,0.0009704,0.0009704,0.0009704
28,1502.63,1.29413,1.37999,1.34426,0.41005,0.26316,0.18731,0.0567,2.65026,3.32568,3.05729,0.0009308,0.0009308,0.0009308
29,1554.54,1.46308,1.58631,1.56115,0.00801,0.26316,0.00669,0.00263,2.75366,22.0882,3.24685,0.0008912,0.0008912,0.0008912
30,1606.17,1.45439,1.63775,1.50934,0.00262,0.73684,0.0032,0.00094,3.02548,108.017,3.47756,0.0008516,0.0008516,0.0008516
31,1658.23,1.23444,1.52217,1.45061,0.0044,0.10526,0.00406,0.00172,2.82511,50.198,3.33104,0.000812,0.000812,0.000812
32,1710.78,1.21899,1.3293,1.34235,0.62145,0.10526,0.13649,0.07806,2.3127,7.05224,2.45016,0.0007724,0.0007724,0.0007724
33,1762.88,1.21544,1.25111,1.33864,0.37667,0.36842,0.24648,0.1049,2.13514,3.76801,2.15948,0.0007328,0.0007328,0.0007328
34,1814.97,1.27934,1.36904,1.34307,0.24568,0.36842,0.21264,0.0781,2.17154,3.92614,2.31513,0.0006932,0.0006932,0.0006932
35,1870.55,1.20974,1.29232,1.3501,0.18813,0.26316,0.16601,0.08382,2.11253,6.14781,2.20014,0.0006536,0.0006536,0.0006536
36,1923.92,1.1609,1.39994,1.25539,0.31374,0.57895,0.3085,0.12675,2.29944,2.52186,2.63753,0.000614,0.000614,0.000614
37,1981.01,1.25334,1.28574,1.3742,0.35831,0.68421,0.39711,0.1396,2.33761,2.34498,2.78908,0.0005744,0.0005744,0.0005744
38,2033.98,1.10208,1.21181,1.24672,0.54329,0.47368,0.4315,0.17579,2.37259,2.22808,2.93695,0.0005348,0.0005348,0.0005348
39,2086.67,1.05949,1.05081,1.20903,0.38987,0.68421,0.42108,0.16844,2.30125,2.1775,2.75051,0.0004952,0.0004952,0.0004952
40,2143.43,1.08242,1.17405,1.20424,0.49291,0.56326,0.47047,0.19773,2.16461,2.00838,2.59547,0.0004556,0.0004556,0.0004556
41,2198.74,0.98782,0.99775,1.21729,0.48046,0.52632,0.45727,0.1897,2.1409,1.99777,2.45398,0.000416,0.000416,0.000416
42,2251.6,1.0368,0.95445,1.19668,0.5677,0.47368,0.47224,0.20628,2.08319,1.96602,2.38093,0.0003764,0.0003764,0.0003764
